organization_cd,company_cd,company_nm,control_cd,control_nm,charge_cd,charge_nm,parent_department_cd,parent_department_nm,department_cd,department_nm,department_nm_en,zip_cd,address,telephone_no,fax_no,extension_no,class_sales,class_data_input,update_date
2456789511454547,001,yu株式会社,00321,yu株式会社部門,00123,yu株式会社部門1課,35621,1課2組,32561,1課2組主任,Section 1 Section 2 Chief,1050012,東京都港区芝大門2⁻4⁻6 豊国ビル,092-292-1752,092-292-1750,092-292-1750-092,32,54,2023-12-24 23:45:00
2456789511454547,002,ABC株式会社,00322,ABC株式会社部門,00124,ABC株式会社部門1課,35622,1課3組,32562,1課3組主任,Section 1 Section 3 Chief,1050013,東京都港区六本木1-1-1 ABCビル,092-292-1753,092-292-1751,092-292-1751-092,32,54,2023-12-24 23:45:00
2456789511454547,003,XYZ株式会社,00323,XYZ株式会社部門,00125,XYZ株式会社部門1課,35623,1課4組,32563,1課4組主任,Section 1 Section 4 Chief,1050014,東京都港区新橋2-2-2 XYZビル,092-292-1754,092-292-1752,092-292-1752-092,32,54,2023-12-24 23:45:00
2456789511454547,004,DEF株式会社,00324,DEF株式会社部門,00126,DEF株式会社部門1課,35624,1課5組,32564,1課5組主任,Section 1 Section 5 Chief,1050015,東京都港区品川3-3-3 DEFビル,092-292-1755,092-292-1753,092-292-1753-092,32,54,2023-12-24 23:45:00
2456789511454547,005,GHI株式会社,00325,GHI株式会社部門,00127,GHI株式会社部門1課,35625,1課6組,32565,1課6組主任,Section 1 Section 6 Chief,1050016,東京都港区港南4-4-4 GHIビル,092-292-1756,092-292-1754,092-292-1754-092,32,54,2023-12-24 23:45:00
2456789511454547,006,JKL株式会社,00326,JKL株式会社部門,00128,JKL株式会社部門1課,35626,1課7組,32566,1課7組主任,Section 1 Section 7 Chief,1050017,東京都港区浜松町5-5-5 JKLビル,092-292-1757,092-292-1755,092-292-1755-092,32,54,2023-12-24 23:45:00
2456789511454547,007,MNO株式会社,00327,MNO株式会社部門,00129,MNO株式会社部門1課,35627,1課8組,32567,1課8組主任,Section 1 Section 8 Chief,1050018,東京都港区赤坂6-6-6 MNOビル,092-292-1758,092-292-1756,092-292-1756-092,32,54,2023-12-24 23:45:00
2456789511454547,008,PQR株式会社,00328,PQR株式会社部門,00130,PQR株式会社部門1課,35628,1課9組,32568,1課9組主任,Section 1 Section 9 Chief,1050019,東京都港区虎ノ門7-7-7 PQRビル,092-292-1759,092-292-1757,092-292-1757-092,32,54,2023-12-24 23:45:00
2456789511454547,009,STU株式会社,00329,STU株式会社部門,00131,STU株式会社部門1課,35629,1課10組,32569,1課10組主任,Section 1 Section 10 Chief,1050020,東京都港区麻布8-8-8 STUビル,092-292-1760,092-292-1758,092-292-1758-092,32,54,2023-12-24 23:45:00
2456789511454547,010,VWX株式会社,00330,VWX株式会社部門,00132,VWX株式会社部門1課,35630,1課11組,32570,1課11組主任,Section 1 Section 11 Chief,1050021,東京都港区赤坂見附9-9-9 VWXビル,092-292-1761,092-292-1759,092-292-1759-092,32,54,2023-12-24 23:45:00
